Course,Instructor,Term,Title,NetId
ECE-316,"Hillmer, Philip M",2015-sp,Ethics and Engineering,hillmer
ECE-342,"Hanumolu, Pavan Kumar",2015-sp,Electronic Circuits,hanumolu
ECE-437,"Bernhard, Jennifer T",2011-fa,Sensors and Instrumentation,jbernhar
ECE-515,"Salapaka, Srinivasa M",2011-sp,Control System Theory & Design,
ECE-476,"Overbye, Thomas J",2015-fa,Power System Analysis,overbye
ECE-437,"Gruev, Viktor",2017-sp,Sensors and Instrumentation,vgruev
ECE-391,"Bailey, Michael D",2017-fa,Computer Systems Engineering,mdbailey
ECE-411,"Kumar, Rakesh",2010-sp,Computer Organization & Design,rakeshk
ECE-395,"Haken, Lippold",2011-sp,Advanced Digital Projects Lab,l-haken
ECE-490,"Hu, Bin",2018-fa,Introduction to Optimization,binhu7
ECE-486,"Raginsky, Maxim",2014-sp,Control Systems,maxim
ECE-350,"Kudeki, Erhan",2012-fa,Fields and Waves II,erhan
ECE-469,"Krein, Philip T",2014-fa,Power Electronics Laboratory,krein
ECE-290,"Brown, Donna J",2010-fa,Computer Engineering I,djb
ECE-110,"Haken, Lippold",2013-sp,Intro Elec & Computer Engrg,l-haken
ECE-473,"Oelze, Michael L",2014-fa,Fund of Engrg Acoustics,oelze
ECE-480,"Liang, Zhi-Pei",2014-fa,Magnetic Resonance Imaging,z-liang
ECE-486,"Belabbas, Mohamed Ali",2014-fa,Control Systems,belabbas
ECE-411,"Kumar, Rakesh",2017-sp,Computer Organization & Design,rakeshk
ECE-418,"Do, Minh N",2015-sp,Image & Video Processing,minhdo
ECE-464,"Pilawa Podgursk, Robert C",2015-fa,Power Electronics,
ECE-402,"Haken, Lippold",2015-fa,Electronic Music Synthesis,l-haken
ECE-549,"Lazebnik, Svetlana",2016-sp,Computer Vision,
ECE-333,"Davis, Katherine M",2012-fa,Green Electric Energy,krogers6
ECE-361,"Varshney, Lav R",2016-sp,Digital Communications,varshney
ECE-445,"Fliflet, Arne W",2018-fa,Senior Design Project Lab,afliflet
ECE-457,"Bernhard, Jennifer T",2014-sp,Microwave Devices & Circuits,jbernhar
ECE-485,"Liu, Gang L",2011-fa,MEMS Devices & Systems,
ECE-462,"Chen, Deming",2018-sp,Logic Synthesis,dchen
ECE-547,"Huang, Thomas S",2011-fa,Topics in Image Processing,t-huang1
ECE-206,"Harris, Kyle A",2012-fa,Elec & Electronic Circuits Lab,
ECE-391,"Borisov, Nikita",2011-sp,Computer Systems Engineering,nikita
ECE-380,"Boppart, Stephen A",2017-fa,Biomedical Imaging,boppart
ECE-110,"Minin, Serge",2016-sp,Introduction to Electronics,
ECE-350,"Kudeki, Erhan",2015-fa,Fields and Waves II,erhan
ECE-551,"Hasegawa-Johnso, Mark A",2011-fa,Digital Signal Processing II,
ECE-473,"King, Daniel A",2013-sp,Fund of Engrg Acoustics,
ECE-561,"Veeravalli, Venugopal V",2010-sp,Detection & Estimation Theory,vvv
ECE-316,"Hillmer, Philip M",2011-sp,Ethics and Engineering,hillmer
ECE-340,"Leburton, Jean-Pierre",2016-fa,Semiconductor Electronics,jleburto
ECE-455,"Eden, James G",2013-fa,Optical Electronics,
ECE-490,"Srikant, Rayadurgam",2014-sp,Introduction to Optimization,rsrikant
ECE-431,"Krein, Philip T",2010-sp,Electric Machinery,krein
ECE-298,"Chen, Deming",2014-sp,Digital System Design Lab,dchen
ECE-469,"Pilawa Podgursk, Robert C",2016-fa,Power Electronics Laboratory,
ECE-330,"Sowidan, Hassan",2017-fa,Power Ckts & Electromechanics,
ECE-329,"Ilie, Raluca",2017-fa,Fields and Waves I,rilie
ECE-515,"Dullerud, Geir E",2015-sp,Control System Theory & Design,dullerud
ECE-441,"Leburton, Jean-Pierre",2010-sp,Physcs & Modeling Semicond Dev,jleburto
ECE-340,"Gilbert, Matthew",2012-fa,Semiconductor Electronics,matthewg
ECE-395,"Haken, Lippold",2016-sp,Advanced Digital Projects Lab,l-haken
ECE-482,"Rosenbaum, Elyse",2014-fa,Digital IC Design,elyse
ECE-190,"Hu, Yih-Chun",2012-fa,Intro to Computing Systems,yihchun
ECE-333,"Overbye, Thomas J",2015-sp,Green Electric Energy,overbye
ECE-469,"Pilawa, Robert",2012-fa,Power Electronics Laboratory,
ECE-547,"Huang, Thomas S",2010-fa,Topics in Image Processing,t-huang1
ECE-210,"Schutt-Aine, Jose E",2017-fa,Analog Signal Processing,jesa
ECE-431,"Haran, Kiruba S",2015-sp,Electric Machinery,kharan
ECE-485,"Liu, Gang L",2017-fa,MEMS Devices & Systems,
ECE-307,"Gross, George",2014-sp,Techniques for Engrg Decisions,gross
ECE-445,"Kumar, Rakesh",2018-sp,Senior Design Project Lab,rakeshk
ECE-330,"Sauer, Peter W",2012-fa,Power Ckts & Electromechanics,psauer
ECE-445,"Makela, Jonathan J",2011-fa,Senior Design Project Lab,jmakela
ECE-391,"Kalbarczyk, Zbigniew T",2014-sp,Computer Systems Engineering,kalbarcz
ECE-580,"Srikant, Rayadurgam",2013-fa,Optimiz by Vector Space Methds,rsrikant
ECE-498,"Levchenko, Kirill I",2018-fa,eCrime & Internet Serv Abuse,klevchen
ECE-210,"Basar, Tangul",2011-fa,Analog Signal Processing,tangul
ECE-340,"Carney, Paul S",2011-fa,Semiconductor Electronics,
ECE-490,"Kumar, P R",2010-sp,Introduction to Optimization,
ECE-333,"Gross, George",2015-fa,Green Electric Energy,gross
ECE-402,"Haken, Lippold",2017-fa,Electronic Music Synthesis,l-haken
ECE-408,"Patel, Sanjay J",2013-fa,Applied Parallel Programming,sjp
ECE-431,"Sauer, Peter W",2013-sp,Electric Machinery,psauer
ECE-408,"Hwu, Wen-Mei W",2017-fa,Applied Parallel Programming,
ECE-329,"Liang, Zhi-Pei",2015-fa,Fields and Waves I,z-liang
ECE-313,"Hassanzadeh, Farzad",2012-sp,Probability with Engrg Applic,
ECE-447,"Feng, Milton",2011-sp,Active Microwave Ckt Design,mfeng
ECE-350,"Chew, Weng C",2017-sp,Fields and Waves II,w-chew
ECE-581,"Hanumolu, Pavan Kumar",2018-fa,Advanced Analog IC Design,hanumolu
ECE-311,"Bresler, Yoram",2018-fa,Digital Signal Processing Lab,ybresler
ECE-205,"Radhakrishnan, Chandrasek",2018-sp,Elec & Electronic Circuits,
ECE-482,"Rosenbaum, Elyse",2013-fa,Digital IC Design,elyse
ECE-515,"Basar, M T",2013-fa,Control System Theory & Design,
ECE-205,"Radhakrishnan, Chandrasek",2016-sp,Elec & Electronic Circuits,
ECE-205,"Zhang, Jianhua",2011-fa,Elec & Electronic Circuits,jhdzhang
ECE-391,"Borisov, Nikita",2012-fa,Computer Systems Engineering,nikita
ECE-453,"Franke, Steven J",2014-sp,Wireless Communication Systems,s-franke
ECE-380,"Boppart, Stephen A",2010-sp,Biomedical Imaging,boppart
ECE-343,"Radhakrishnan, Chandrasek",2014-sp,Electronic Circuits Laboratory,
ECE-314,"Hajek, Bruce",2017-fa,Probability in Engineering Lab,b-hajek
ECE-462,"Vasudevan, Shobha",2010-fa,Logic Design,shobhav
ECE-473,"Oelze, Michael L",2016-sp,Fund of Engrg Acoustics,oelze
ECE-486,"Hutchinson, Seth A",2015-fa,Control Systems,seth
ECE-549,"Lazebnik, Svetlana",2014-sp,Computer Vision,
ECE-206,"Venkatesan, Neeraj",2014-fa,Elec & Electronic Circuits Lab,
ECE-380,"Gao, Liang",2016-fa,Biomedical Imaging,gaol
ECE-549,"Hoiem, Derek W",2015-sp,Computer Vision,dhoiem
ECE-205,"Radhakrishnan, Chandrasek",2015-sp,Elec & Electronic Circuits,
ECE-210,"Jones, Douglas L",2010-fa,Analog Signal Processing,dl-jones
ECE-350,"Schutt-Aine, Jose E",2012-sp,Fields and Waves II,jesa
ECE-534,"Srikant, Rayadurgam",2016-fa,Random Processes,rsrikant
ECE-425,"Wong, Martin D",2014-fa,Intro to VLSI System Design,mdfwong
ECE-310,"Liang, Zhi-Pei",2011-fa,Digital Signal Processing,z-liang
ECE-206,"Radhakrishnan, Chandrasek",2018-fa,Electrical & Electronics Lab,
ECE-398,"Veeravalli, Venugopal V",2017-sp,Making Sense of Big Data,vvv
ECE-416,"Cunningham, Brian T",2018-sp,Biosensors,bcunning
ECE-488,"Feng, Milton",2013-sp,Compound Semicond & Devices,mfeng
ECE-528,"Stipanovic, Dusan M",2017-sp,Analysis of Nonlinear Systems,
ECE-317,"Peck, Timothy L",2010-fa,ECE Technology & Management,
ECE-210,"He, Wei",2014-fa,Analog Signal Processing,weihe16
ECE-464,"Krein, Philip T",2010-fa,Power Electronics,krein
ECE-551,"Dokmanic, Ivan",2017-fa,Digital Signal Processing II,dokmanic
ECE-411,"Kim, Nam Sung",2016-sp,Computer Organization & Design,
ECE-444,"Sievers, Dane J",2012-sp,IC Device Theory & Fabrication,
ECE-317,"Frizzell, Leon A",2013-sp,ECE Technology & Management,frizz
ECE-520,"Yan, Su",2012-fa,EM Waves & Radiating Systems,
ECE-444,"Li, Xiuling",2015-fa,IC Device Theory & Fabrication,xiuling
ECE-398,"Do, Minh N",2014-sp,Making Sense of Big Data,minhdo
ECE-485,"Liu, Gang L",2010-fa,MEMS Devices & Systems,
ECE-544,"Hasegawa-Johnso, Mark A",2013-fa,Pattern Recognition,
ECE-483,"Hanumolu, Pavan Kumar",2014-sp,Analog IC Design,hanumolu
ECE-462,"Vasudevan, Shobha",2015-fa,Logic Synthesis,shobhav
ECE-311,"Do, Minh N",2018-sp,Digital Signal Processing Lab,minhdo
ECE-469,"Banerjee, Arijit",2017-fa,Power Electronics Laboratory,arijit
ECE-455,"Eden, James G",2010-fa,Optical Electronics,
ECE-420,"Allen, Jont",2016-fa,Embedded DSP Laboratory,jontalle
ECE-534,"Milenkovic, Olgica",2017-sp,Random Processes,milenkov
ECE-450,"Kudeki, Erhan",2011-sp,"Lines, Fields, and Waves",erhan
ECE-420,"Levinson, Stephen E",2011-fa,Embedded DSP Laboratory,selevins
ECE-411,"Kumar, Rakesh",2013-fa,Computer Organization & Design,rakeshk
ECE-483,"Hanumolu, Pavan Kumar",2018-sp,Analog IC Design,hanumolu
ECE-401,"Hasegawa-Johnso, Mark A",2017-sp,Signal and Image Analysis,
ECE-307,"Gross, George",2013-sp,Techniques for Engrg Decisions,gross
ECE-586,"Srikant, Rayadurgam",2017-fa,"MDPs, Reinforcement Learning",rsrikant
ECE-473,"Oelze, Michael L",2011-fa,Fund of Engrg Acoustics,oelze
ECE-515,"Hutchinson, Seth A",2012-fa,Control System Theory & Design,seth
ECE-452,"Chew, Weng C",2014-fa,Electromagnetic Fields,w-chew
ECE-470,"Hutchinson, Seth A",2011-fa,Introduction to Robotics,seth
ECE-453,"Franke, Steven J",2018-sp,Wireless Communication Systems,s-franke
ECE-486,"Liberzon, Daniel M",2011-fa,Control Systems,liberzon
ECE-486,"Hutchinson, Seth A",2015-sp,Control Systems,seth
ECE-350,"Dragic, Peter D",2015-sp,Fields and Waves II,p-dragic
ECE-340,"Leburton, Jean-Pierre",2016-sp,Semiconductor Electronics,jleburto
ECE-456,"Makela, Jonathan J",2014-sp,Global Nav Satellite Systems,jmakela
ECE-101,"Schmitz, Christopher",2011-sp,Exploring Digital Info Technol,cdschmit
ECE-190,"Hu, Yih-Chun",2013-fa,Intro to Computing Systems,yihchun
ECE-340,"Dallesasse, John M",2013-fa,Semiconductor Electronics,jdallesa
ECE-444,"Li, Xiuling",2014-fa,IC Device Theory & Fabrication,xiuling
ECE-444,"Sievers, Dane J",2013-fa,IC Device Theory & Fabrication,
ECE-462,"Vasudevan, Shobha",2014-fa,Logic Synthesis,shobhav
ECE-515,"Belabbas, Mohamed Ali",2015-fa,Control System Theory & Design,belabbas
ECE-470,"Hutchinson, Seth A",2016-fa,Introduction to Robotics,seth
ECE-528,"Mehta, Prashant G",2013-sp,Analysis of Nonlinear Systems,mehtapg
ECE-385,"Cheng, Zuofu",2015-fa,Digital Systems Laboratory,zcheng1
ECE-391,"Kalbarczyk, Zbigniew T",2015-sp,Computer Systems Engineering,kalbarcz
ECE-430,"Bazzi, Ali M",2011-sp,Power Ckts & Electromechanics,
ECE-205,"Zhang, Jianhua",2010-fa,Elec & Electronic Circuits,jhdzhang
ECE-455,"Eden, James G",2018-fa,Optical Electronics,
ECE-385,"Chen, Deming",2013-sp,Digital Systems Laboratory,dchen
ECE-340,"Gilbert, Matthew",2015-sp,Semiconductor Electronics,matthewg
ECE-206,"Sharma, Abhishek",2015-fa,Elec & Electronic Circuits Lab,
ECE-480,"Liang, Zhi-Pei",2018-fa,Magnetic Resonance Imaging,z-liang
ECE-425,"Chen, Deming",2016-fa,Intro to VLSI System Design,dchen
ECE-517,"Liberzon, Daniel M",2016-fa,Nonlinear & Adaptive Control,liberzon
ECE-190,"Mitra, Sayan",2011-fa,Intro to Computing Systems,mitras
ECE-205,"Haney, Michael J",2013-sp,Elec & Electronic Circuits,
ECE-515,"Salapaka, Srinivasa M",2018-sp,Control System Theory & Design,
ECE-459,"Alvarez, Juan",2014-fa,Communications Systems,alvarez
ECE-453,"Franke, Steven J",2010-fa,Wireless Communication Systems,s-franke
ECE-576,"Sauer, Peter W",2011-sp,Power System Dynm & Stability,psauer
ECE-391,"Stratton, John A",2013-sp,Computer Systems Engineering,stratton
ECE-316,"Hillmer, Philip M",2016-fa,Ethics and Engineering,hillmer
ECE-453,"Franke, Steven J",2016-sp,Wireless Communication Systems,s-franke
ECE-313,"Milenkovic, Olgica",2014-fa,Probability with Engrg Applic,milenkov
ECE-330,"Bose, Subhonmesh",2018-sp,Power Ckts & Electromechanics,boses
ECE-420,"Levinson, Stephen E",2014-sp,Embedded DSP Laboratory,selevins
ECE-110,"Frizzell, Leon A",2011-fa,Intro Elec & Computer Engrg,frizz
ECE-418,"Moulin, Pierre",2016-sp,Image & Video Processing,pmoulin
ECE-473,"O'Brien, William D",2011-sp,Fund of Engrg Acoustics,
ECE-402,"Haken, Lippold",2017-sp,Electronic Music Synthesis,l-haken
ECE-317,"He, Wei",2018-sp,ECE Technology & Management,weihe16
ECE-598,"Hwu, Wen-Mei W",2010-fa,Special Topics in ECE,
ECE-391,"Kalbarczyk, Zbigniew T",2010-fa,Computer Systems Engineering,kalbarcz
ECE-395,"Haken, Lippold",2015-fa,Advanced Digital Projects Lab,l-haken
ECE-454,"Bernhard, Jennifer T",2013-sp,Antennas,jbernhar
ECE-520,"Jin, Jianming",2013-fa,EM Waves & Radiating Systems,j-jin1
ECE-498,"Patel, Sanjay J",2010-sp,Special Topics in ECE,sjp
ECE-342,"Rosenbaum, Elyse",2012-fa,Electronic Circuits,elyse
ECE-210,"Jiang, Jing",2017-sp,Analog Signal Processing,
ECE-551,"Do, Minh N",2016-fa,Digital Signal Processing II,minhdo
ECE-490,"Baryshnikov, Juliy",2016-sp,Introduction to Optimization,
ECE-411,"Hwu, Wen-Mei W",2015-fa,Computer Organization & Design,
ECE-417,"Hasegawa-Johnso, Mark A",2018-fa,Multimedia Signal Processing,
ECE-447,"Gong, Songbin",2016-fa,Active Microwave Ckt Design,songbin
ECE-411,"Kumar, Rakesh",2018-fa,Computer Organization & Design,rakeshk
ECE-445,"Singer, Andrew C",2012-fa,Senior Design Project Lab,acsinger
ECE-486,"Hutchinson, Seth A",2010-sp,Control Systems,seth
ECE-316,"Hillmer, Philip M",2017-fa,Ethics and Engineering,hillmer
ECE-425,"Wong, Martin D",2011-fa,Intro to VLSI System Design,mdfwong
ECE-450,"Kudeki, Erhan",2010-fa,"Lines, Fields, and Waves",erhan
ECE-307,"Gross, George",2011-sp,Techniques for Engrg Decisions,gross
ECE-486,"Belabbas, Mohamed Ali",2013-fa,Control Systems,belabbas
ECE-445,"Carney, Paul S",2014-sp,Senior Design Project Lab,
ECE-380,"Boppart, Stephen A",2015-fa,Biomedical Imaging,boppart
ECE-455,"Eden, James G",2011-fa,Optical Electronics,
ECE-205,"Zhang, Jianhua",2010-sp,Elec & Electronic Circuits,jhdzhang
ECE-385,"Chan, Sao-Jie",2010-sp,Digital Systems Laboratory,
ECE-220,"Chen, Yuting W",2018-sp,Computer Systems & Programming,ywchen
ECE-110,"Goddard, Lynford L",2012-fa,Intro Elec & Computer Engrg,lgoddard
ECE-408,"Hwu, Wen-Mei W",2011-fa,Applied Parallel Programming,
ECE-486,"Liberzon, Daniel M",2016-sp,Control Systems,liberzon
ECE-330,"Guo, Siming",2015-sp,Power Ckts & Electromechanics,
ECE-120,"Jaramillo Jimen, Juan Jos",2016-fa,Introduction to Computing,
ECE-444,"Coleman, James J",2011-fa,IC Device Theory & Fabrication,jcoleman
ECE-380,"Boppart, Stephen A",2011-sp,Biomedical Imaging,boppart
ECE-290,"Loui, Michael C",2011-fa,Computer Engineering I,loui
ECE-528,"Olshevsky, Alexander",2014-sp,Analysis of Nonlinear Systems,
ECE-316,"Hillmer, Philip M",2010-fa,Ethics and Engineering,hillmer
ECE-361,"Varshney, Lav R",2014-sp,Digital Communications,varshney
ECE-385,"Kumar, Rakesh",2011-fa,Digital Systems Laboratory,rakeshk
ECE-316,"Hillmer, Philip M",2012-fa,Ethics and Engineering,hillmer
ECE-350,"Kudeki, Erhan",2013-sp,Fields and Waves II,erhan
ECE-508,"Hwu, Wen-Mei W",2017-sp,Manycore Parallel Algorithms,
ECE-385,"Chen, Deming",2017-sp,Digital Systems Laboratory,dchen
ECE-476,"Dominguez-Garci, Alejandr",2013-fa,Power System Analysis,
ECE-101,"Schmitz, Christopher",2012-fa,Exploring Digital Info Technol,cdschmit
ECE-333,"Dominguez-Garci, Alejandr",2011-fa,Green Electric Energy,
ECE-455,"Eden, James G",2015-fa,Optical Electronics,
ECE-110,"Choi, Hyungsoo",2018-sp,Introduction to Electronics,hyungsoo
ECE-314,"Hajek, Bruce",2018-fa,Probability in Engineering Lab,b-hajek
ECE-417,"Hasegawa-Johnso, Mark A",2016-sp,Multimedia Signal Processing,
ECE-453,"Franke, Steven J",2010-sp,Wireless Communication Systems,s-franke
ECE-410,"Hasegawa-Johnso, Mark A",2010-fa,Digital Signal Processing I,
ECE-440,"Gilbert, Matthew",2010-fa,Solid State Electronic Devices,matthewg
ECE-342,"Rosenbaum, Elyse",2017-sp,Electronic Circuits,elyse
ECE-120,"Varodayan, David",2018-sp,Introduction to Computing,
ECE-342,"Hajj, Ibrahim N",2014-fa,Electronic Circuits,ihajj
ECE-441,"Zhu, Wenjuan",2017-sp,Physcs & Modeling Semicond Dev,wjzhu
ECE-210,"Basar, Tangul",2014-sp,Analog Signal Processing,tangul
ECE-205,"Haney, Michael J",2014-sp,Elec & Electronic Circuits,
ECE-333,"Gross, George",2016-fa,Green Electric Energy,gross
ECE-385,"Kindratenko, Volodymyr",2014-sp,Digital Systems Laboratory,kindrtnk
ECE-329,"Roach, Tyrone L",2010-sp,Fields and Waves I,
ECE-462,"Vasudevan, Shobha",2012-fa,Logic Design,shobhav
ECE-473,"Campos Coiado, Olivia",2015-sp,Fund of Engrg Acoustics,
ECE-481,"Lyding, Joseph W",2013-sp,Nanotechnology,lyding
ECE-450,"Franke, Patricia M",2010-sp,"Lines, Fields, and Waves",
ECE-486,"Raginsky, Maxim",2013-sp,Control Systems,maxim
ECE-445,"Oelze, Michael L",2017-sp,Senior Design Project Lab,oelze
ECE-411,"Polychronopoulo, Constant",2010-fa,Computer Organization & Design,
ECE-598,"Raginsky, Maxim",2015-fa,Statistical Learning Theory,maxim
ECE-511,"Frank, Matthew I",2012-fa,Computer Architecture,
ECE-534,"Milenkovic, Olgica",2014-sp,Random Processes,milenkov
ECE-385,"Kumar, Rakesh",2010-fa,Digital Systems Laboratory,rakeshk
ECE-313,"Alvarez, Juan",2011-sp,Probability with Engrg Applic,alvarez
ECE-490,"Baryshnikov, Juliy",2013-sp,Introduction to Optimization,
ECE-290,"Vasudevan, Shobha",2010-sp,Computer Engineering I,shobhav
ECE-350,"Cangellaris, Andreas C",2011-fa,Fields and Waves II,cangella
ECE-515,"Kumar, P R",2010-fa,Control System Theory & Design,
ECE-445,"Swenson, Gary R",2010-fa,Senior Design Project Lab,swenson1
ECE-444,"Coleman, James J",2010-sp,IC Device Theory & Fabrication,jcoleman
ECE-310,"Smaragdis, Paris",2013-sp,Digital Signal Processing,paris
ECE-361,"Alvarez, Juan",2017-sp,Digital Communications,alvarez
ECE-455,"Eden, James G",2014-fa,Optical Electronics,
ECE-444,"Li, Xiuling",2011-sp,IC Device Theory & Fabrication,xiuling
ECE-333,"Overbye, Thomas J",2010-fa,Green Electric Energy,overbye
ECE-464,"Krein, Philip T",2014-fa,Power Electronics,krein
ECE-313,"Veeravalli, Venugopal V",2018-fa,Probability with Engrg Applic,vvv
ECE-311,"Ma, Chao",2012-fa,Digital Signal Processing Lab,
ECE-598,"Zhu, Wenjuan",2018-fa,2D Material Electr & Photonics,wjzhu
ECE-220,"Chen, Yuting W",2018-fa,Computer Systems & Programming,ywchen
ECE-311,"Wei, Michael",2014-sp,Digital Signal Processing Lab,
ECE-430,"Sauer, Peter W",2010-fa,Power Ckts & Electromechanics,psauer
ECE-340,"Dallesasse, John M",2018-fa,Semiconductor Electronics,jdallesa
ECE-110,"Haken, Lippold",2011-sp,Intro Elec & Computer Engrg,l-haken
ECE-408,"Hwu, Wen-Mei W",2016-fa,Applied Parallel Programming,
